date,region,price_index
2013-08-01,Yorkshire and The Humber,64.8
2013-09-01,Yorkshire and The Humber,65.4
2013-10-01,Yorkshire and The Humber,64.3
2013-11-01,Yorkshire and The Humber,64.7
2013-12-01,Yorkshire and The Humber,65.5
2014-01-01,Yorkshire and The Humber,64.6
2014-02-01,Yorkshire and The Humber,65.6
2014-03-01,Yorkshire and The Humber,64.7
2014-04-01,Yorkshire and The Humber,66.6
2014-05-01,Yorkshire and The Humber,67.0
2014-06-01,Yorkshire and The Humber,67.0
2014-07-01,Yorkshire and The Humber,67.8
2014-08-01,Yorkshire and The Humber,68.6
2014-09-01,Yorkshire and The Humber,67.7
2014-10-01,Yorkshire and The Humber,68.1
2014-11-01,Yorkshire and The Humber,67.9
2014-12-01,Yorkshire and The Humber,68.4
2015-01-01,Yorkshire and The Humber,66.9
2015-02-01,Yorkshire and The Humber,67.3
2015-03-01,Yorkshire and The Humber,67.7
2015-04-01,Yorkshire and The Humber,68.0
2015-05-01,Yorkshire and The Humber,69.6
2015-06-01,Yorkshire and The Humber,69.7
2015-07-01,Yorkshire and The Humber,71.1
2015-08-01,Yorkshire and The Humber,71.4
2015-09-01,Yorkshire and The Humber,71.0
2015-10-01,Yorkshire and The Humber,70.9
2015-11-01,Yorkshire and The Humber,71.2
2015-12-01,Yorkshire and The Humber,71.5
2016-01-01,Yorkshire and The Humber,71.0
2016-02-01,Yorkshire and The Humber,71.3
2016-03-01,Yorkshire and The Humber,70.6
2016-04-01,Yorkshire and The Humber,72.8
2016-05-01,Yorkshire and The Humber,73.0
2016-06-01,Yorkshire and The Humber,73.8
2016-07-01,Yorkshire and The Humber,74.3
2016-08-01,Yorkshire and The Humber,74.4
2016-09-01,Yorkshire and The Humber,73.9
2016-10-01,Yorkshire and The Humber,73.9
2016-11-01,Yorkshire and The Humber,74.3
2016-12-01,Yorkshire and The Humber,74.9
2017-01-01,Yorkshire and The Humber,73.1
2017-02-01,Yorkshire and The Humber,74.0
2017-03-01,Yorkshire and The Humber,73.5
2017-04-01,Yorkshire and The Humber,75.3
2017-05-01,Yorkshire and The Humber,75.9
2017-06-01,Yorkshire and The Humber,76.5
2017-07-01,Yorkshire and The Humber,76.9
2017-08-01,Yorkshire and The Humber,77.6
2017-09-01,Yorkshire and The Humber,77.6
2017-10-01,Yorkshire and The Humber,77.1
2017-11-01,Yorkshire and The Humber,77.2
2017-12-01,Yorkshire and The Humber,77.8
2018-01-01,Yorkshire and The Humber,76.6
2018-02-01,Yorkshire and The Humber,76.5
2018-03-01,Yorkshire and The Humber,76.9
2018-04-01,Yorkshire and The Humber,77.3
2018-05-01,Yorkshire and The Humber,78.4
2018-06-01,Yorkshire and The Humber,78.8
2018-07-01,Yorkshire and The Humber,79.6
2018-08-01,Yorkshire and The Humber,80.6
2018-09-01,Yorkshire and The Humber,79.7
2018-10-01,Yorkshire and The Humber,79.4
2018-11-01,Yorkshire and The Humber,79.3
2018-12-01,Yorkshire and The Humber,79.6
2019-01-01,Yorkshire and The Humber,78.8
2019-02-01,Yorkshire and The Humber,78.2
2019-03-01,Yorkshire and The Humber,79.0
2019-04-01,Yorkshire and The Humber,79.5
2019-05-01,Yorkshire and The Humber,79.7
2019-06-01,Yorkshire and The Humber,80.4
2019-07-01,Yorkshire and The Humber,81.0
2019-08-01,Yorkshire and The Humber,81.3
2019-09-01,Yorkshire and The Humber,81.3
2019-10-01,Yorkshire and The Humber,81.6
2019-11-01,Yorkshire and The Humber,81.0
2019-12-01,Yorkshire and The Humber,81.4
2020-01-01,Yorkshire and The Humber,80.8
2020-02-01,Yorkshire and The Humber,80.7
2020-03-01,Yorkshire and The Humber,81.2
2020-04-01,Yorkshire and The Humber,78.7
2020-05-01,Yorkshire and The Humber,81.0
2020-06-01,Yorkshire and The Humber,82.5
2020-07-01,Yorkshire and The Humber,82.9
2020-08-01,Yorkshire and The Humber,84.0
2020-09-01,Yorkshire and The Humber,84.4
2020-10-01,Yorkshire and The Humber,85.6
2020-11-01,Yorkshire and The Humber,87.5
2020-12-01,Yorkshire and The Humber,88.1
2021-01-01,Yorkshire and The Humber,88.9
2021-02-01,Yorkshire and The Humber,89.4
2021-03-01,Yorkshire and The Humber,90.1
